Id,position,Team,matches,wins,draws,loses,scored,missed,pts,Corners,Shots,Yellow,Red,Fouls,S_OnTarget
1,1,Barcelona,38,26,9,3,90,36,87,206,561,77,2,407,254
2,2,Atletico Madrid,38,22,10,6,55,29,76,217,442,103,5,476,160
3,3,Real Madrid,38,21,5,12,63,46,68,221,594,83,6,444,214
4,4,Valencia,38,15,16,7,51,35,61,196,478,90,3,463,165
5,5,Sevilla,38,17,8,13,62,47,60,223,532,118,6,536,180
6,6,Getafe,38,15,14,9,48,35,59,158,397,112,7,641,128
7,7,Espanyol,38,14,11,13,48,50,53,175,470,92,2,530,161
8,8,Athletic Club,38,13,14,11,41,45,53,153,387,120,5,581,139
9,9,Real Sociedad,38,13,11,14,45,46,50,178,425,82,4,491,144
10,10,Alaves,38,13,11,14,39,50,50,145,432,101,1,548,123
11,11,Real Betis,38,14,8,16,44,52,50,186,444,89,1,436,169
12,12,Eibar,38,11,14,13,46,50,47,224,527,83,2,515,157
13,13,Leganes,38,11,12,15,37,43,45,139,419,106,4,541,132
14,14,Levante,38,11,11,16,59,66,44,202,443,112,7,501,161
15,15,Villarreal,38,10,14,14,49,52,44,168,493,118,3,519,173
16,16,Celta Vigo,38,10,11,17,53,62,41,163,449,84,6,458,160
17,17,Real Valladolid,38,10,11,17,32,51,41,201,413,92,0,521,133
18,18,Girona,38,9,10,19,37,53,37,136,402,83,4,536,148
19,19,SD Huesca,38,7,12,19,43,65,33,169,474,114,3,580,151
20,20,Rayo Vallecano,38,8,8,22,41,70,32,186,455,106,8,567,149
